name,handedness,height,weight,avg,HR,weight_HR_mean,weight_counts
Tom Brown,R,73,170,0.0,0,28.9491525424,94.0
Denny Lemaster,R,73,182,0.13,4,71.4,8.0
Joe Nolan,L,71,175,0.263,27,47.3076923077,118.0
Denny Doyle,L,69,175,0.25,16,47.3076923077,118.0
Jose Cardenal,R,70,150,0.275,138,58.375,12.0
Mike Ryan,R,74,205,0.193,28,28.1818181818,48.0
Fritz Peterson,B,72,185,0.159,2,39.2727272727,122.0
Dick Bertell,R,72,200,0.25,10,65.9782608696,64.0
Rod Kanehl,R,73,180,0.241,6,34.4868421053,134.0
Ozzie Osborn,R,74,195,0.0,0,54.6101694915,99.0
John LaRose,L,73,185,0.0,0,51.9428571429,122.0
Jeff Byrd,R,75,195,0.0,0,54.6101694915,99.0
Juan Bonilla,R,69,170,0.256,7,28.9491525424,94.0
Frank Tepedino,L,71,185,0.241,6,51.9428571429,122.0
Jerry Kutzler,L,73,175,0.0,0,47.3076923077,118.0
Rick Wise,R,73,180,0.195,15,34.4868421053,134.0
Darrell Evans,L,74,200,0.248,414,55.5333333333,64.0
Buck Martinez,R,70,190,0.225,58,51.0,120.0
John Wockenfuss,R,72,190,0.262,86,51.0,120.0
Tommy McCraw,L,72,183,0.246,75,37.5,7.0
Jeff Barkley,B,75,185,0.0,0,39.2727272727,122.0
Eric Wilkins,R,73,190,0.0,0,51.0,120.0
Britt Burns,L,77,215,0.0,0,63.75,23.0
Lee Lacy,R,73,175,0.286,91,34.3382352941,118.0
Pete Rose,B,71,192,0.303,160,160.0,8.0
Danny Walton,R,72,195,0.223,28,54.6101694915,99.0
Bobby Cox,R,71,180,0.225,9,34.4868421053,134.0
Brad Wellman,R,72,170,0.231,6,28.9491525424,94.0
Jeff Newman,R,74,215,0.224,63,51.3157894737,23.0
Pedro Gonzalez,R,72,176,0.244,8,7.66666666667,4.0
Nardi Contreras,B,74,193,0.0,0,124.0,9.0
Tommie Reynolds,R,74,190,0.226,12,51.0,120.0
Gene Clines,R,69,170,0.277,5,28.9491525424,94.0
Jim Hickman,R,75,192,0.252,159,117.8,8.0
Jack Billingham,R,76,195,0.111,0,54.6101694915,99.0
Jerry Buchek,R,71,185,0.22,22,33.0921052632,122.0
Ivan DeJesus,R,71,175,0.254,21,34.3382352941,118.0
Gary Nolan,R,74,197,0.138,1,125.0,7.0
Gil Patterson,R,73,185,0.0,0,33.0921052632,122.0
Fred Whitfield,L,73,190,0.253,108,62.9583333333,120.0
Larry Dierker,R,76,215,0.136,4,51.3157894737,23.0
Dave Skaggs,R,74,200,0.241,3,65.9782608696,64.0
Dick Ruthven,R,75,190,0.183,1,51.0,120.0
Jerry Garvin,L,75,195,0.0,0,74.1212121212,99.0
Steve Eddy,R,74,185,0.0,0,33.0921052632,122.0
Dave Kingman,R,78,210,0.236,442,49.28,33.0
Eric Soderholm,R,71,187,0.264,102,57.9,11.0
Kevin Mmahat,L,77,220,0.0,0,39.2857142857,12.0
Ed Brinkman,R,72,170,0.224,60,28.9491525424,94.0
Wayne Garrett,L,71,175,0.239,61,47.3076923077,118.0
Tony Muser,L,74,180,0.259,7,43.6818181818,134.0
Jim Siwy,R,76,200,0.0,0,65.9782608696,64.0
Bud Anderson,R,75,210,0.0,0,49.28,33.0
Ted Ford,R,70,180,0.219,17,34.4868421053,134.0
Kevin Stanfield,L,72,190,0.0,0,62.9583333333,120.0
Jim Lyttle,L,72,180,0.248,9,43.6818181818,134.0
John Butcher,R,76,185,0.0,0,33.0921052632,122.0
Jerry Ujdur,R,73,195,0.0,0,54.6101694915,99.0
Scot Thompson,L,75,195,0.262,5,74.1212121212,99.0
Gene Locklear,L,70,165,0.274,9,44.2142857143,57.0
Bo Diaz,R,71,185,0.255,87,33.0921052632,122.0
Bump Wills,B,69,172,0.266,36,36.0,3.0
Brian Denman,R,76,205,0.0,0,28.1818181818,48.0
Pat Putnam,L,72,205,0.255,63,44.6666666667,48.0
Kurt Bevacqua,R,72,180,0.236,27,34.4868421053,134.0
Bob Fallon,L,75,200,0.0,0,55.5333333333,64.0
Syd O'Brien,R,73,185,0.23,24,33.0921052632,122.0
Chris Chambliss,L,73,195,0.279,185,74.1212121212,99.0
Tom Satriano,L,73,185,0.225,21,51.9428571429,122.0
Jeffrey Leonard,R,74,200,0.266,144,65.9782608696,64.0
Dal Maxvill,R,71,157,0.217,6,11.0,2.0
Steve Curry,R,78,217,0.0,0,0.0,1.0
Cesar Tovar,R,69,155,0.278,46,24.5,15.0
Mickey Lolich,B,73,170,0.11,0,13.1818181818,94.0
Ray Chadwick,B,74,180,0.0,0,69.6428571429,134.0
Jack Heidemann,R,72,175,0.211,9,34.3382352941,118.0
Rich Rollins,R,70,185,0.269,77,33.0921052632,122.0
Walt Bond,L,79,228,0.256,41,41.0,1.0
Merv Rettenmund,R,70,190,0.271,66,51.0,120.0
Bryan Clutterbuck,R,76,223,0.0,0,0.0,1.0
Byron Browne,R,74,190,0.236,30,51.0,120.0
Hector Torres,R,72,175,0.216,18,34.3382352941,118.0
Walt Williams,R,66,165,0.27,33,33.5526315789,57.0
Jerry Koosman,R,74,205,0.119,2,28.1818181818,48.0
Steve Lombardozzi,R,72,175,0.233,20,34.3382352941,118.0
Joe Azcue,R,72,190,0.252,50,51.0,120.0
Elliott Maddox,R,71,180,0.261,18,34.4868421053,134.0
Omar Moreno,L,74,180,0.252,37,43.6818181818,134.0
Julian Javier,R,73,175,0.257,78,34.3382352941,118.0
Tony Ferreira,L,73,160,0.0,0,73.5714285714,50.0
Elio Chacon,R,69,160,0.232,4,33.875,50.0
Rusty Torres,B,70,175,0.212,35,17.7272727273,118.0
John Stearns,R,72,185,0.26,46,33.0921052632,122.0
Larry Brown,R,70,160,0.233,47,33.875,50.0
Tommy Dean,R,72,165,0.18,4,33.5526315789,57.0
Bryan Oelkers,L,75,192,0.0,0,0.0,8.0
Kevin Bearse,L,74,195,0.0,0,74.1212121212,99.0
Marty Martinez,B,72,170,0.243,0,13.1818181818,94.0
Bruce Boisclair,L,74,185,0.263,10,51.9428571429,122.0
Ken Singleton,B,76,210,0.282,246,246.0,33.0
Frank White,R,71,165,0.255,160,33.5526315789,57.0
Jim Fairey,L,70,190,0.235,7,62.9583333333,120.0
Jose Roman,R,72,175,0.0,0,34.3382352941,118.0
Tom Brookens,R,70,165,0.246,71,33.5526315789,57.0
Gary Thomasson,L,73,180,0.249,61,43.6818181818,134.0
Mike Trujillo,R,73,180,0.0,0,34.4868421053,134.0
Albert Williams,R,76,190,0.0,0,51.0,120.0
Oswaldo Peraza,R,76,172,0.0,0,11.0,3.0
Otto Velez,R,72,170,0.251,78,28.9491525424,94.0
Tony Scott,B,72,164,0.249,17,19.0,3.0
Ray Oyler,R,71,165,0.175,15,33.5526315789,57.0
Barry Cort,R,77,210,0.0,0,49.28,33.0
Floyd Robinson,L,69,175,0.283,67,47.3076923077,118.0
Steve Jeltz,B,71,180,0.21,5,69.6428571429,134.0
Lou Brock,L,71,170,0.293,149,52.875,94.0
